Row ID,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
37,MI,,408,,,,,71,25.19,,,,166.4,155,7.49,6.2,,,,0
38,,,,no,,0,178.6,83,,,,,,,,10.9,,,1,0
39,,,408,,no,0,213.4,,,,52,,,,,,6,,,0
40,,162,408,no,,,184.5,,,,95,,,,,,3,,,0
41,,,,,,,190,,32.3,,,,181.5,,,,,,0,0
42,SC,,,,,,140.5,92,,186.8,96,,227,,10.22,,,,,0
43,OR,98,,,,,,,,256.6,,,,88,,7.7,,2.08,,0
44,WV,48,,no,no,0,275.2,,46.78,,,15.32,159,,,,,,,0
45,,158,,,,0,,112,,221.3,,,,,,8.2,,,1,0
46,NC,116,,no,,19,155.7,,26.47,185.4,,15.76,,116,8.67,,,,,0
47,,,,,no,,,,,,,18.5,,123,6.61,10.9,,2.94,,0
48,,,510,,,,205.9,,35,257.1,,21.85,,,,,8,,0,0
49,,,,,no,,,,41.91,216.3,89,,,99,8.08,,3,3.43,2,0
50,WV,153,408,no,yes,28,235.6,74,40.05,,,,170.3,103,,,9,,,0
51,,,,no,,,110.4,,18.77,137.3,102,,,,8.53,,,2.08,,0
52,PA,,510,,,,,,29.02,,,,,99,7.46,,1,2.35,3,0
53,,,510,,no,,155.9,,26.5,,,19.06,221,116,,,8,2.32,2,0
54,,,,,,21,,108,31.74,,86,,,119,8.42,,,4.46,1,0
55,UT,,,,,,,86,,,,13.18,,,8.54,,,,5,1
56,CA,,,,,,187.6,97,31.89,208.2,,,,101,,,,,,0
57,WY,225,415,,no,,,,,,,,218,103,,,,,1,0
58,,161,415,no,no,0,178.1,109,,,,,137.6,,6.19,,,,1,0
59,,96,415,,,26,,,,,84,,178,,8.01,,,,,0
60,,,415,no,no,,237.9,,,247.6,,,,68,,,,,,1
61,,61,,,,0,197.7,,,152.2,,12.94,221,93,,,,,,0
62,ID,,,,yes,,,130,34.22,203.7,,17.31,,113,,,6,1.73,1,1
63,,,,no,no,,,,,351.6,80,,,90,9.71,,,2.35,,0
64,,,,,no,0,,,,134.6,,,,,10.9,7.4,,,,0
65,,,,,,0,70.9,,,211.9,,,236,,10.62,10.6,3,,3,0
66,,120,,,,,,,,259.9,66,22.09,115.9,,5.22,,,,3,0
67,SD,20,415,no,,35,,,29.16,153.1,127,,165.6,125,,,3,,,0
68,,,,no,,,107.9,,,,,,,,,,2,2.84,0,0
69,,103,,,,,70.9,,12.05,,112,11.43,,164,,,,3.24,,0
70,,,,no,no,,246.2,102,,202.4,,17.2,180.1,95,,,,2.54,,0
71,MT,,408,,no,,,69,,305,,25.93,,,,,,,,1
72,,64,,,,27,201.3,,,143.8,89,12.22,,127,6.76,,,,1,0
73,MI,,,no,,0,204.3,65,34.73,247.3,,,,,9.66,12,,,,0
74,NE,,,,no,,,,,,,23.68,,,5.83,,,3.11,0,0
75,NM,55,,,,0,,100,48.74,,121,,,,8.68,,,1.86,2,0
76,,,415,no,,0,,,25.76,242.2,,,,109,,,,,,0
77,,,,,,,,121,,,,,253.5,,,13.1,,,,0
78,MI,,415,yes,,0,140.8,,,228.6,,,152.9,88,6.88,10.9,7,2.94,,0
79,RI,39,,,,,93.3,,,,114,,206.2,,,6.5,,1.76,,0
80,SC,,,,,,,,,,,22.29,,92,5.85,8.8,,2.38,0,0
81,,,,yes,,,,98,31.77,,,,,104,,12.3,,3.32,,0
82,KS,,,,,,191.3,,,,,,268.4,,,12.8,,,,0
83,,,,,,,,,20.69,184,76,,,98,12,,3,,,0
84,OH,135,415,no,,0,,,29.48,222,,18.87,,94,,,6,3.7,,0
85,,,510,no,,,,,,,97,,,,,,3,,,0
86,,58,,,,,177.4,107,,,,,,,,15,9,4.05,,0
87,OH,,,,no,,196.8,,,,,,,,,12.7,7,,2,0
88,SC,,,no,no,0,255.1,,43.37,,110,,,,,,,,3,1
89,MD,85,510,,,0,,73,,,117,,147.1,98,6.62,,,0.97,,0
90,CT,,408,no,yes,40,,,39.42,,,18,268.5,74,12.08,,,,2,0
91,,79,,,,0,,135,,,87,,126.9,,5.71,10.4,,2.81,2,0
92,DC,,,,,,186.8,,,,,,250.9,,,,4,,2,0
93,,120,415,,yes,,299.5,83,,163.4,84,,146.7,88,,11.6,5,,,0
94,,,,,,0,,,,,,17.84,266.9,,,,,,,0
95,ME,,,,no,0,,,,,,19.56,119.8,81,,,,,,0
96,MN,,,,,,291.8,,,,134,18.22,,,,,2,2.67,,1
97,,,,no,yes,34,232.6,,,,,13.02,,77,,,,,,0
98,,98,415,yes,yes,,,54,,,,,,,,10.8,,2.92,1,0
99,ID,,415,no,,0,,,39.88,,,,,81,7.7,8.1,,2.19,0,0
100,,140,,,,0,,,27.64,,109,17.53,141.6,,6.37,,2,,,0
101,,,,,,,,,19.24,,,,,,12.23,,4,3.81,,0
102,,122,,,,,,96,39.53,,,17.47,213.7,91,,11.9,,,0,0
103,AZ,83,,,,41,,,,,,13.8,,105,,13.1,,,3,0
104,,33,,no,yes,,125.1,,21.27,,140,20.96,235.4,109,10.59,,2,3.27,0,0
105,HI,,415,,yes,30,174,118,29.58,,,17.45,,,,6.7,3,,1,0
106,FL,31,510,no,,0,165.4,,,,,17.31,,65,,,1,,,0
107,VT,,415,yes,,26,,,52.21,,,24.6,174.9,,,8,,,0,0
108,NC,88,,no,yes,27,,106,,,92,,,,,10.9,,2.94,1,0
109,,,,no,,37,,107,27.71,,,26.59,,85,9,,,,1,0
110,ME,69,510,,,,194.2,,,242.1,,20.58,,80,,,,,2,0
111,CO,80,415,no,no,,194.8,,,209.9,,,,,,12.8,3,,,0
112,,85,510,no,no,,,,,190,141,,144,116,6.48,10.9,3,,,1
113,,,415,no,no,,187.3,,,177.1,,,,,12.11,9.5,3,2.57,,0
114,NH,,,,,,,,,298,,,210.2,,9.46,11.1,,,,0
115,,,,,no,,,,,,97,,,,,10.5,10,,1,0
116,,,,no,no,,,74,,213.4,96,,,81,8.86,,,,,0
117,WV,,,no,yes,,184,,31.28,76.4,134,,,96,,,,3.43,2,0
118,AZ,87,,,no,,,91,18.85,158.5,,,,131,,,,,1,0
119,,138,,no,,,,,39.12,,,18.02,174.9,,,,4,3.56,,0
120,VT,94,,no,no,0,118.7,,,,,17.43,,,7.75,,6,,,0
121,,46,,,,,,,,,,,,119,,,,,,0
122,,,,,no,0,234.8,,,,,9.32,180.3,,,10.4,,2.81,0,0
123,KY,129,415,,no,0,,,,,,16.59,,,,,5,2.05,,0
124,,,415,no,,31,,101,29.67,245.6,,20.88,,76,,10.3,,,,0
125,TN,120,408,,no,,179.9,72,,,,,,,,13.8,2,,,1
126,,,415,,yes,,,,,,106,,,,6.69,,,,1,0
127,,135,,,,,,81,,,,,204.4,,9.2,,6,,,0
128,,119,,,no,0,159.1,,,,,,,,,,3,,5,1
129,,,510,,,,,124,,,103,12.46,225.7,129,10.16,,,,,1
130,CA,84,415,no,no,0,280,,,,,,,,7.06,,,,0,1
131,,,,,no,,,70,,,,,304.3,,,,,1.89,1,1
132,,,415,,yes,,198.1,86,33.68,177,86,,,,,,,,,0
133,,,408,no,no,,195.1,100,33.17,,95,,,117,,,2,1.81,0,0
134,MD,,415,no,no,,,,16.03,,91,,,,,,,2.59,1,0
135,OR,116,,,no,0,,,36.62,204.8,,,278.5,,12.53,12.6,5,3.4,3,0
136,PA,,,,,,174.1,,29.6,147.1,,,,,,16.2,,4.37,,0
137,,,415,,no,,,,33.3,89.1,,,,82,13.6,,,2.78,,0
138,,76,,no,no,0,,,28.82,,87,,,92,9.87,10,3,,,0
139,IN,,,,no,0,,,,140.9,91,,204.3,93,,,,2.57,1,0
140,TX,,,yes,no,,221.8,,,,,17.32,,,,,,,,0
141,,,,,,0,,,,152.9,115,,318.3,115,,,,3.19,1,0
142,,,,no,no,0,203.8,,,205.1,,17.43,,,6.97,9,,2.43,,0
143,CO,,,no,,,,107,,323.2,75,27.47,143.9,127,,,2,,,0
144,,,,no,no,,137.4,,23.36,120,,,,64,,,,3.35,,0
145,MS,121,415,no,,,,,,,102,17.82,192.5,129,,10.6,2,2.86,1,0
146,UT,81,415,,,,,121,,230.1,,,,123,,,,,0,0
147,ME,,,,,0,,,,222,,18.87,,123,,,,,0,1
148,,,,no,,0,,96,22.42,167.6,,14.25,,,9.27,,5,3.97,3,0
149,TN,,,no,,0,,,,,,,,,8.12,16.2,,,,0
150,TN,140,,no,no,0,,,21.3,,,14.25,,94,11.73,,,,1,0
151,,136,408,,,,,,31.18,,,,200.4,122,,,,2.81,,0
152,,127,510,,,,239.8,107,40.77,128.9,,,,110,11.25,,,,,0
153,,,510,,no,,169.3,,,178.6,,,242.3,,,12.2,3,,,0
154,,,,no,,0,174.4,120,,,,,136.5,,6.14,,,,,0
155,NJ,108,,,no,,,,40.68,,,,,,,,,,,0
156,,98,,no,,,,,47.31,,143,,,,,,5,,0,0
157,,,,,,,,,,,85,13.23,,105,,12.4,,3.35,0,0
158,,66,,,,,,,24.89,196.5,99,16.7,,106,,7.8,2,,,0
159,,92,408,no,no,,,,45.15,180.7,,15.36,211.1,113,,8.6,,2.32,,0
160,,33,,yes,no,0,164,,27.88,,,,,104,5.57,,,,,0
161,,,,,yes,,157.2,118,,196.3,136,16.69,,109,,,5,2.27,3,0
162,NH,,,,,0,154.7,102,26.3,298,108,25.33,,95,,,3,3,,0
163,VA,,,no,,,110.1,113,,,,,,94,,9.2,,,,0
164,,129,,,no,,207,,,154.9,,,245.1,112,,13.4,,,,0
165,,,,no,,0,159.7,79,,216.7,131,18.42,,116,,,,,,0
166,,75,510,,no,0,153.2,78,,,,,153.5,,,,,2.11,,0
167,WA,86,,no,no,0,,,25.59,,95,10.23,,,12.2,9,2,2.43,1,0
168,IA,,,,yes,,172.5,,,,102,9.66,,,,10.8,4,2.92,,0
169,,,,,,0,,90,,,,12.88,143,,6.44,,3,,,0
170,SD,,408,no,yes,,,,17.66,,,,155.7,119,7.01,,,,0,0
171,WA,,415,no,,,189.3,,,205.3,,17.45,,,10.27,,,,,0
172,CO,,,no,no,,,,31.42,,,11.1,,69,,8,9,,,0
173,,119,,,,,138.3,89,,,,14.49,,98,11.88,13.5,6,3.65,,0
174,,,415,,yes,31,,,20.57,218.9,,,,,,12,,,,0
175,,,415,,yes,,,,,,140,,226,,,,4,,,0
176,,,408,,,39,,,16.12,219.1,91,,,65,,,,,1,0
177,,88,,,no,0,,,,245.4,112,,160.5,,7.22,14.8,,4,1,1
178,IN,,,,,,243.8,98,41.45,83.9,,,,,,,,3.7,,0
179,UT,44,415,no,,,202.6,,,163,96,,,151,,,,2.24,0,0
180,DE,,,,,,,88,,,,,,125,,,,,,0
181,WA,,,,no,0,,100,,,,,,,,,,,,1
182,,25,,,,0,,,,,66,,,,7.47,,4,2.27,1,1
183,TX,,,,no,0,,,,,,16.87,,105,,12.6,3,,,0
184,ND,,415,yes,,,218.7,111,,,,,277.4,,,,5,,,0
185,DE,105,,,no,,150,,25.5,,123,,,65,,10.3,7,2.78,,0
186,,215,,,no,,,148,,,,10.28,226.6,,,10.7,,2.89,0,0
187,IN,,,no,yes,,,,17.32,223.1,97,18.96,,77,,,,,,0
188,,,,,,,202.1,100,34.36,195.7,,,291.8,,,13.3,,,2,0
189,CT,,408,no,,25,,,32.3,116.6,76,9.91,,,6.37,12.2,,3.29,,0
190,IN,,,,no,,206.7,87,,,83,,158.5,77,7.13,,,,,0
191,,,,,,,,,,187,77,,,,9.83,,0,0,,0
192,,,,,no,,,,,,,,317.9,,,12.4,,3.35,1,0
193,,,408,no,,,,87,,201.5,,17.13,,,,6.8,4,,0,0
194,CO,118,408,,,,188.8,,32.1,,64,,220.1,,9.9,,,,,0
195,IA,,,no,,,157.5,,,,83,,,,,,,,,0
196,,107,,no,,,,,,,,19.05,,,,,,,2,0
197,PA,,,,,0,215.9,67,,217,108,18.45,342.8,,,,,1.4,1,0
198,,,,yes,yes,37,,125,,,,,210.7,115,9.48,9.1,,,,0
199,VT,,,yes,,,204.4,,,219.1,90,,,114,10.02,,,2.84,,0
200,,109,,,,,154.8,82,26.32,,109,,,80,,,,,3,0
201,,,,no,,,178.7,61,,,,21.45,255.7,,,,,,,0
202,NJ,,,,,0,259.6,,,233.9,91,,,,,13,4,3.51,,0
203,NM,148,,,no,,,148,26.11,262.1,,,,99,,9.8,3,,,0
204,,,415,,,12,62.4,,,237.6,96,20.2,,,,,,,0,0
205,,,415,no,no,0,184.7,,,,73,,239.5,,10.78,12.3,,3.32,,1
206,,,,,,,,,28.73,,104,,213.3,,,,3,,,1
207,,,408,,,0,118.6,,,,115,,,,4.26,13.3,,,,0
208,UT,,,,,,192.1,,32.66,,,,132.6,,,,,1.97,,0
209,NM,55,510,no,no,0,286.7,100,,134.4,121,11.42,192.9,122,8.68,6.9,5,,,0
210,,47,,,no,,,116,26.4,188.2,85,16,,,,,4,,3,0
211,,135,,no,no,,,,,161.4,109,13.72,,,,8.4,2,,1,0
212,IA,,,,,,206.3,98,35.07,,82,24.89,,,,10.6,,,1,0
213,CA,,,yes,,0,196.2,,33.35,176.5,,,,108,10.46,15.2,,4.1,0,1
214,,,,,no,,,,,318.8,119,,,79,,6.5,,,0,0
215,SC,,408,,no,,,,,,113,,112.3,95,,,2,3.08,,0
216,VA,68,,,,,148.5,,,,125,18.65,198.5,,,,,,,1
217,,,,no,,,,114,,,,,,,,,,,,0
218,,,,,yes,27,,142,,,103,,,,,11.1,2,,,0
219,,71,,,,,197.9,,,,,15.43,281.4,56,,,,,,0
220,ID,,,,,34,,121,39.54,,115,,,77,12.9,,,,,0
221,ND,,,no,,33,177.1,,,194,85,,,124,11.4,,,1.4,,0
222,NV,,,no,,0,160.4,,27.27,218.1,88,,192.9,115,,,,3.38,,0
223,,105,,yes,,,,,38.83,,108,12.33,,,,,,2.08,,0
224,,,,no,no,,,,,,,13.87,229.8,,10.34,12.6,,,0,0
225,TX,92,,,,,91.7,,,,,16.46,,86,,9.2,,,,0
226,,152,,no,yes,20,239.1,,,209.1,111,,268.2,130,,13.3,,,5,0
227,,94,415,,,,,,,,,,150,,6.75,,,,0,0
228,VT,,415,,no,0,217.8,91,,220.6,97,18.75,277.3,89,12.48,,6,,1,1
229,WY,,408,no,,,,,,224.7,,,,91,10.25,10,,2.7,1,0
230,,,510,no,,,,104,15.59,,119,12.8,63.3,103,,,,,1,0
231,,,510,,,37,181.2,76,30.8,,,15.1,,136,10.26,,3,,,0
232,,52,,,,0,,,,,,,192.5,106,8.66,,,,,0
233,LA,121,,,,,,,,,,,,103,,,,,,0
234,,49,,,,,,117,,,,,,90,,,,,,0
235,,63,408,no,yes,,,,,,76,9.91,,110,,12.2,,,1,0
236,,,408,,,0,240.2,110,40.83,187.9,,,,,6.87,,,,3,0
237,,,415,,,,,96,,263.1,,22.36,,83,,,,2.92,,1
238,,,,,,0,,,,,115,18.18,171.2,,,,,,2,0
239,NC,,,,,0,201.2,128,34.2,,,,,91,6.56,,3,,,0
240,,58,,,,,,116,,,103,,,,,9.3,2,2.51,2,1
241,,,,,no,,,,,214.1,98,,154.9,,6.97,,,,,0
242,WY,116,,no,yes,12,221,108,,,,,179,,,,6,2.43,2,0
243,WA,54,415,no,yes,,,,,,120,,,,5.72,,8,2.03,,0
244,,100,,,no,,218.8,125,37.2,,,,,,12.5,,6,,,0
245,IL,,,no,,0,,69,,195.2,53,16.59,,91,,13.7,,,1,0
246,CA,75,510,no,,38,,132,27.81,,,,345.8,115,,,,,,0
247,NM,118,,no,no,,,,34.88,,,,,115,7.92,,,1.89,,0
248,MN,117,408,no,,21,153.2,,,,110,,135,85,,11.9,7,3.21,1,0
249,TX,,,no,no,0,,103,14.91,,,,,,,,,,1,0
250,,,415,,,,,,,219.7,,,,,,,3,2.62,5,1
251,,87,,,,0,210.7,46,35.82,,116,,,,,,,,,0
252,ID,77,510,no,,,189.5,,,207,,,,91,9.63,,7,,0,0
253,,90,,,,0,76.1,,,,,,,,,,,,0,0
254,,,,,,0,243,91,,183.9,77,,,,,,,,0,1
255,,46,,,,0,139.4,81,,,,,,77,7.79,,6,,1,0
256,,160,,no,,0,,,36.86,,,,,117,10.29,,,1.51,,0
257,,125,,,,,,,,,,,192.9,,8.68,15.7,,4.24,,0
258,TX,,510,no,,0,,92,,,78,,163.3,93,,,,3.75,0,0
259,,,415,no,no,,,85,,,,,,,,,,,,0
260,AK,,,no,no,,,,,,,,150.5,,6.77,10.7,,,1,0
261,,63,,yes,,,,,,,,,,,,8.9,,2.4,,0
262,DE,,415,no,no,0,,,,,80,,153.9,102,,15,,,,0
263,,42,415,,,,155.4,127,26.42,,,,157.7,,,9,,,,0
264,WY,90,,,,0,,,,,104,24.86,,103,,,,,,0
265,KY,54,408,no,,0,,,,264,,,115.7,70,5.21,,7,,2,0
266,,,415,,,,37.8,,,155.3,105,,175,,,14.2,,,3,0
267,,,,no,,,108.3,87,18.41,,,15.61,,,7.95,13.5,,,0,0
268,,82,415,no,,0,130,110,,,,,,105,8.04,8.3,,,0,0
269,,,,no,no,0,,,,230.5,,,,,,12.3,,3.32,1,0
270,IA,,510,,,,141.4,,24.04,,,15.84,,111,9.45,,,2.08,1,0
271,VT,,415,,,,,,43.2,,,,196.2,,8.83,,4,,3,0
272,,17,408,,,0,180.4,121,30.67,228.5,,19.42,,,8.98,14.8,,4,0,0
273,,,408,,no,,,,,,,15.05,245.7,89,,,,,,0
274,WA,174,408,no,,33,167.8,,28.53,205.3,91,17.45,130,,,14.5,,3.92,4,1
275,VA,,,,no,0,,107,,154.6,,13.14,,,,,,,1,0
276,,111,,,,,246.5,,,,89,18.39,179.6,,8.08,12.7,3,3.43,,0
277,,,510,,no,,227.4,88,38.66,182.5,,,191.7,134,,,,3.38,0,0
278,SD,30,,,no,0,,107,42.06,175.9,,,,,,11.3,,,0,0
279,,,,,,0,187.7,127,31.91,,,,196,,8.82,,,,0,0
280,TX,,,no,,,326.5,,55.51,,,14.99,,,,,,,,1
281,,73,,,no,0,,,,,110,,,,11.4,8.4,,2.27,,0
282,,22,408,no,no,0,,,,210.6,,17.9,,,10.72,,5,2.59,,0
283,,108,415,,,,193.3,,,154.7,85,,174.8,98,,,6,,3,0
284,,191,,no,,,,104,27.54,241.2,,,,83,9.47,,7,,1,0
285,UT,,,,yes,52,123.7,,21.03,133.2,,,,,8.63,,,,,0
286,NH,,408,,,,,134,38.91,255.7,,,208,120,9.36,,,2.73,4,1
287,,,,,,41,173.1,85,,,107,17.33,,78,5.5,,,,,1
288,,,415,no,,,,,24.97,,111,,114.5,,,,,,3,0
289,AZ,,415,,,26,,115,26.13,137.8,146,,,104,9.61,,,,,0
290,VT,,,,,,,112,,,136,,,,,,6,,3,0
291,NM,,510,no,,,,,,164.9,,,231.5,,10.42,,,,,0
292,,,,,,,218.8,123,,242.8,,20.64,,,,,3,,,0
293,WV,,,no,,,167.1,,,,,,111.4,74,,9.1,,2.46,1,0
294,WV,,408,,,,,109,45.34,,,19.75,,98,,,4,4.4,1,0
295,,,415,no,,0,206.7,87,35.14,,,,158.5,,7.13,,5,,,0
296,AL,,408,no,,,,,21.74,,,,202.2,,,,5,3.38,,0
297,,,,no,,,,,38.91,,136,13.66,,,9.14,12.5,2,3.38,0,0
298,,,,,no,,,,,,,15.44,128.1,93,,,,3.32,0,0
299,,,,no,,31,,,,267.8,,,200.5,,,,3,3.46,,0
300,,65,,,no,,,,,157.6,,13.4,227.3,86,10.23,,,2.03,,0
301,NV,,510,,no,0,154.2,,26.21,110.2,,9.37,,117,,,5,2.48,,0
302,KY,47,,,,40,,,26.91,213.2,,18.12,,132,,14,,,,0
303,WV,159,,no,,,,,,,,,175.8,41,,9.9,,,,0
304,FL,110,415,,no,,242.5,,41.23,,,,,,8.28,,,,,0
305,,,415,no,no,,221,,37.57,,,,118,,,,3,1.84,,0
306,,,415,,no,,,106,,,118,15.11,206.1,,,12.4,9,,,0
307,,,,no,,,,,,,78,,,,,,,,0,0
308,NY,,,,yes,35,139.6,,23.73,,170,28.29,,,,,2,2.38,2,0
309,,,415,,no,0,,101,33.66,,74,16.17,,,,,,,4,0
310,,,510,,,,,,,,,,,,,7.5,2,,2,0
311,WI,81,,no,,,,,27.47,,,10.46,261.3,101,,,5,,,0
312,ME,,,no,,,,76,,189,100,16.07,,102,,4.7,4,,,0
313,,82,415,,no,,,102,,,,,,,,17.5,,4.73,,0
314,,75,,no,,0,,,,209.1,,,,,,,,,1,0
315,,,,,,0,207.2,113,,256,,21.76,211,,9.49,,,2.67,,0
316,FL,100,,,no,,,63,,105.7,,8.98,243.1,74,,,3,,,1
317,WI,107,408,,no,0,134,,,174.5,94,14.83,,79,,,3,1.97,,0
318,DE,,,yes,no,0,214.1,77,36.4,240.5,94,,188.9,,,10.1,,,,0
319,,137,,,,0,,91,,147.2,100,,,75,,8,7,,2,0
320,,79,,no,yes,,192.3,125,,,108,12.52,,97,,,,2.11,,0
321,NH,90,,no,,,76.1,,,290.3,73,,,,,,,2.92,,0
322,KS,,,,,,189.5,,,189.8,,16.13,,83,9.26,,2,,,0
323,,,,,yes,,,94,30.96,164.6,,,128.8,,,,,,,0
324,MS,,,no,,,,,,,,,,,,,,3.65,,1
325,OK,,415,,,,205.2,106,,99.5,122,8.46,189.5,,8.53,,,3.62,,0
326,,70,510,no,no,0,129.9,,,,,17.74,,93,,,3,,1,0
327,IN,,415,no,,42,209.2,82,35.56,,74,13.57,181.6,,8.17,,3,,0,0
328,,,,no,,,,,44.57,165.2,,,,57,,,,,0,0
329,,58,415,,,,224.1,127,,,85,,174.2,86,,,7,3.11,,0
330,OR,,,no,,,213.5,93,,166.6,,,,,,,,,3,0
331,,54,415,no,yes,39,,143,,,72,,,120,8.96,,,2.48,3,0
332,ME,,415,yes,,0,130.7,,22.22,,122,22.15,,,,,,,,1
333,OH,,,,,,220.1,,,268.2,,,146.5,,6.59,,3,,,0
334,,,510,,no,0,,,,,,17.33,,124,,,8,,3,0
335,,69,415,,no,0,,70,38.79,,,,,,,10.7,,2.89,3,0
336,,,415,no,,,,,,,92,,,,,8.8,,,3,0
337,,,408,,,,185.3,,31.5,,,17.68,,124,,15.1,,,,0
338,IN,,415,no,no,,226.4,,,,60,23.53,,82,,12.3,4,3.32,3,1
339,WA,,,no,yes,41,,,,,,14.41,,102,9.63,,,1.67,,0
340,,73,,,no,0,187.3,118,,239.7,90,,167.5,,,15.1,2,,,0
341,UT,82,,,no,,191.9,,32.62,,105,,202.6,113,,8.2,,,,0
342,WY,125,,,,,140.1,,23.82,,,17.82,264.1,77,11.88,,,,,0
343,PA,,,no,no,,,,34.87,,95,,149.5,142,6.73,,2,,,0
344,,,,no,,,148.5,,25.25,146.5,42,,,,13.01,,6,,,0
345,ND,,415,,no,0,135.1,109,22.97,205.2,99,17.44,166.3,,7.48,11.7,4,,,0
346,OH,63,,yes,,,199,110,,,111,,197.6,92,,11,,,,0
347,IN,86,,,,,166.2,,,,81,,,97,,,7,1.46,,0
348,AR,,,no,,0,96.7,97,16.44,,95,,,,,9.7,,2.62,,0
349,,117,,no,,,,,25.48,,,,,,,13.3,13,3.59,,0
350,KS,87,,,,0,,90,,,,,,69,,,5,,,0
351,OH,74,415,no,,,,,23.24,,,,,,,,,2.65,,0
352,,57,,,,,279.9,121,47.58,,,,,94,11.33,13,2,,,0
353,,,415,,,24,249.5,,42.42,259.7,,22.07,,,10.02,9.8,4,,,0
354,CT,90,,,,,,,,,,,175,,,,5,,3,0
355,WA,120,,,yes,28,,,36.69,,,24.24,,,8.64,6.9,3,,1,0
356,,,510,,,,,,31.45,,129,,,82,,,4,,3,0
357,AK,,,,,22,,,,,,,,,,,,,3,0
358,DE,117,415,no,no,,,137,,,107,,,,9.22,15.5,,4.19,,0
359,MN,,,no,no,,,106,22.85,211.3,,,193.6,,8.71,10.2,,,5,1
360,,,415,,,,209.9,113,,,104,21.23,224.2,,,,,,1,0
361,KY,,,,,,,115,32.57,,,17.48,,,9.46,,,,2,0
362,,162,,,,,,93,17.56,,,17.9,,,,11.4,,3.08,,0
363,,127,,,,,,115,,,101,,,63,,,,3.29,2,0
364,,,,yes,,0,,134,,255.7,71,21.73,208,,9.36,,2,2.73,,1
365,,97,,no,no,,,87,28.66,,,,279.8,,12.59,,,,,0
366,,,,,yes,,,96,,,118,18.01,,,,,5,,,0
367,MI,,,no,,,192.6,97,,135.2,,,216.2,101,,7.9,,,2,0
368,,123,,,,,,85,,244.7,,,,136,9.97,7.7,2,2.08,,0
369,,185,,,yes,,,,,,,,258.4,,11.63,,3,3.48,2,0
370,TX,92,,no,no,,,,,174.9,143,,,,,9.4,7,,,0
